A,B,C,D,E,F
2,62.07,21,339.23,-73.2314,-23.7943
12,132.17,5,51.28,-2.99686,-7.41747
0,48.3,5,51.47,-8.34466,-3.37146
2,62.33,30,501.54,17.3027,4.96147
13,139.19,38,645.08,24.6202,4.3412
11,125.37,36,609.41,-23.6721,-48.5349
0,48.47,31,519.42,-73.7505,-25.3943
10,118.19,9,123.32,-27.8935,-2.44036
34,286.03,16,249.01,27.0891,34.6725
25,223.46,29,483.33,-46.9511,-9.97975
13,139.41,27,447.06,-37.4608,-92.7184
21,195.37,4,33.09,-17.9063,-52.0035
8,104.32,0,-38.45,-40.173,-66.859
30,258.33,11,159.04,-43.8456,-39.4787
6,90.35,16,249.24,-19.0152,-17.7319
14,146.25,4,32.98,67.9517,11.9817
27,237.19,5,51,6.6574,2.16312
1,55.04,18,284.98,-12.8615,-19.0679
25,223.05,9,123.33,45.3985,12.1645
23,209.1,21,339.48,29.7258,26.7652
20,188.32,7,87.13,-26.5292,-17.8942
21,195.32,31,519.44,8.19152,5.73576
30,258.48,30,500.97,-70.466,-28.4701
33,279.27,15,231.2,-33.7677,-51.9975
5,83.11,35,591.03,29.5094,57.9154
26,230.14,3,15.5,13.4577,3.85892
2,62.04,39,663.03,3.52671,4.8541
28,244.45,13,195.15,-37.9004,-34.1256
6,90.31,39,663.3,47.8042,31.0444
16,160.12,4,33.2,-62.5826,-60.4352
11,125.56,19,303.03,4.44627,12.216
30,258.04,12,177.46,46.7571,45.1528
10,118.11,7,87.32,-93.5395,-21.5953
13,139.39,3,15.09,-35.14,-26.4798
2,62.01,27,447.03,71.0047,34.6313
8,104.48,0,-38.84,87.6479,15.4547
24,216.56,13,195.53,-11.4715,-16.383
27,237.2,4,33.52,43.6171,64.6649
35,293.08,3,15.35,-6.61532,-23.0703
31,265.07,35,591.55,53.5625,19.4951
11,125.14,38,645.49,-13.5968,-41.8465
29,251.37,7,87.11,22.5347,42.3815
5,83.53,10,141.06,-42.5221,-87.183
10,118.35,12,177.23,8.15677,3.80356
25,223.17,31,519.5,4.22619,9.06307
28,244.51,17,267.43,-48.8567,-38.171
13,139.04,25,411.49,-41.3338,-66.1477
12,132.24,21,339.39,31.4909,36.226
3,69.56,15,231.45,43.0185,37.3953
0,48.51,8,105.28,33.234,33.234
11,125.12,24,392.97,36.1459,38.7617
13,139.36,10,141.27,-38.8739,-41.6871
4,76.52,19,303.14,24.8075,86.5135
34,286.1,30,501.46,32.6301,41.7645
37,307.51,2,-2.98,-1.31512,-2.69638
35,293.18,37,627.37,-53.4722,-24.9345
2,62.52,21,339.21,56.134,9.89794
36,300.18,0,-38.76,-33.5852,-23.5166
7,97.42,16,249.34,71.1334,20.3971
17,167.48,27,447.56,14,24.2487
8,104.4,26,429.54,-75.3174,-16.0092
28,244.15,34,573.18,65.4881,49.3488
26,230.48,25,411.56,25.3944,73.7504
9,111.14,1,-20.66,-86.2281,-34.8384
19,181.01,10,141.43,9.02724,11.9795
3,69.2,22,357.26,-18.7113,-3.29931
9,111.38,15,231,-22.8051,-74.5917
27,237.38,9,123.1,33.1615,22.3677
9,111.18,29,483.28,-38.3886,-47.4059
18,174.07,12,177.06,-85.3009,-34.4638
7,97.09,2,-2.62,45.8994,26.5
19,181.19,16,249.51,23.3687,11.3976
32,272.5,24,393.3,-33.6867,-87.7565
13,139.25,17,267.39,49.7164,61.3945
30,258.46,18,285.19,25.4415,15.8976
9,111.47,31,519.08,70.7203,57.2681
7,97.07,27,447.12,-90.3504,-29.3566
38,314.46,18,285.19,36.4661,22.7865
18,174.53,25,411.33,37.7355,32.8029
12,131.97,17,267,19.0676,37.4223
10,118.2,38,645.18,-53.2312,-51.4047
25,223.5,32,537.01,-16.1129,-10.0685
29,251.56,18,285.45,-48.0906,-71.2972
17,167.29,29,483.31,6.6323,4.47354
30,258.5,39,663.16,-2.11968,-3.39219
27,237.55,28,465.14,-87.6479,-15.4547
39,321.05,0,-38.92,-60.2192,-29.3708
20,188.39,33,555.55,41.0822,8.73228
32,272.16,39,662.98,24.0615,47.2233
33,279.52,13,195.49,-2.19186,-4.49397
38,314.31,39,663.23,-45.8725,-32.1203
1,55.2,38,644.99,45.5731,72.9321
35,293.55,6,69.05,-66.2764,-28.1326
27,237.17,20,321.04,11.6582,18.657
7,97.12,21,339.37,-75.62,-29.0278
9,111.46,22,357.37,41.144,24.7218
10,118.26,21,338.97,61.6811,55.5378
24,216.48,37,627.19,32.0954,39.6344
2,62.36,6,69.19,-5.91667,-12.6883
28,244.1,27,447.06,-15.343,-31.4578
37,307.23,0,-38.72,44.821,10.3477
38,314.53,10,141.16,83.1385,48
19,181.17,36,609.53,-19.0152,-17.7319
34,286.14,7,87.18,-26.3543,-31.4078
33,279.24,18,285.3,-45.0333,-26
4,76.54,21,339.21,-42.722,-80.3482
33,279.44,3,15.4,30.7427,22.3358
20,188.26,4,33.34,-78.8351,-51.196
37,307.17,35,591.33,44.9466,28.0857
1,55.16,6,69.48,78.9342,28.7297
6,90.45,12,177.04,11.5351,3.30765
34,286.54,20,321.46,-26.8413,-39.7938
20,188.1,20,321.13,-18.883,-54.8401
15,153.56,19,303.19,-12.876,-21.4292
9,111.05,15,231.13,-16.8139,-58.6369
23,209.42,27,447.12,42.0774,12.8643
9,111.07,29,483.38,52.5694,26.7854
12,132.48,35,591.1,29.5518,37.8245
11,125.12,28,464.99,84.0045,48.5
19,181.44,3,15.11,66.8255,34.0493
26,230.35,39,663.42,34.472,28.9254
17,167.43,25,411.24,-29.9524,-86.9877
9,111.29,27,447.13,52.8495,21.3526
33,278.98,2,-2.7,16.8015,39.5817
28,244.51,31,519.48,40.2467,7.82316
25,223.04,36,609.33,30.7604,8.82039
31,265.27,0,-38.75,-30.2055,-6.97348
24,216.35,12,177,-10.9881,-23.564
11,125.16,11,159.42,11.203,4.30041
37,306.97,13,195.25,62.2244,9.85536
26,230.05,1,-21.01,-13.8564,-7.99999
36,300.04,27,447.13,-12.1203,-21.8655
36,300.48,14,213.25,32.8415,8.79984
10,118.34,19,303.1,2.00739,2.22943
32,272.29,23,375.42,-40.3216,-53.5085
39,321.16,6,69.09,21.0387,6.43217
